t0 t1 t2 i0 i1 i2 m0 m1 m2 r0 r1 r2 p0 p1 p2 
99.20409 7.670687 15.38875 23.57587 30.7983 24.4242 23.54874 30.7983 24.4242 23.57586 30.79831 24.4242 23.57586 30.79832 24.60824 
99.23673 7.793726 15.63559 23.95404 31.29233 24.81598 23.92691 31.29232 24.81598 23.95403 31.29235 24.81598 23.95403 31.29235 25.00002 
99.25842 7.875419 15.79948 24.20512 31.62033 25.07609 24.178 31.62033 25.07609 24.20511 31.62034 25.07609 24.20511 31.62034 25.26014 
99.27998 7.956596 15.96233 24.45462 31.94627 25.33457 24.42749 31.94626 25.33457 24.45461 31.94627 25.33457 24.45461 31.94628 25.51861 
99.31271 8.08 16.20991 24.83391 32.44173 25.7275 24.80678 32.44173 25.7275 24.83389 32.44175 25.7275 24.83389 32.44175 25.91154 
99.33448 8.16208 16.37457 25.08616 32.77127 25.98884 25.05903 32.77127 25.98884 25.08615 32.77128 25.98883 25.08615 32.77129 26.17288 
99.36726 8.285568 16.62231 25.4657 33.26707 26.38203 25.43857 33.26706 26.38203 25.46569 33.26707 26.38203 25.46569 33.26708 26.56607 
99.38918 8.368148 16.78798 25.7195 33.59861 26.64496 25.69237 33.59859 26.64496 25.71949 33.59861 26.64495 25.71949 33.59862 26.829 
99.42216 8.492416 17.03727 26.10141 34.0975 27.04062 26.07429 34.09749 27.04062 26.1014 34.09751 27.04061 26.1014 34.09752 27.22466 
99.44412 8.575134 17.20321 26.35563 34.42957 27.30398 26.3285 34.42958 27.30398 26.35562 34.42959 27.30398 26.35562 34.42959 27.48803 
99.47723 8.699953 17.45362 26.73924 34.93068 27.70139 26.71211 34.93067 27.70139 26.73923 34.93068 27.70138 26.73923 34.93069 27.88543 
99.49923 8.782824 17.61986 26.99392 35.26336 27.96523 26.96678 35.26335 27.96523 26.9939 35.26337 27.96523 26.99391 35.26337 28.14928 
99.52132 8.866081 17.78689 27.24979 35.59759 28.2303 27.22265 35.59758 28.2303 27.24978 35.5976 28.2303 27.24977 35.5976 28.41435 
99.55459 8.991422 18.03834 27.63499 36.10077 28.62936 27.60786 36.10075 28.62936 27.63498 36.10077 28.62936 27.63498 36.10077 28.81341 
99.57669 9.074634 18.20527 27.89071 36.4348 28.89429 27.86358 36.43479 28.89429 27.8907 36.4348 28.89428 27.8907 36.43481 29.07833 
99.60998 9.200106 18.45698 28.27631 36.93847 29.29376 28.24917 36.93847 29.29376 28.27629 36.93848 29.29376 28.27629 36.93849 29.4778 
99.63217 9.283715 18.6247 28.53325 37.27412 29.55995 28.50612 37.2741 29.55995 28.53324 37.27412 29.55994 28.53325 37.27412 29.74399 
99.66553 9.409385 18.87681 28.91946 37.77858 29.96004 28.89233 37.77856 29.96004 28.91944 37.77859 29.96004 28.91945 37.77859 30.14409 
99.68793 9.493784 19.04612 29.17882 38.11737 30.22874 29.15169 38.11736 30.22874 29.17881 38.11737 30.22873 29.17881 38.11738 30.41278 
99.72119 9.619156 19.29763 29.56411 38.62064 30.62789 29.53698 38.62063 30.62789 29.56409 38.62065 30.62788 29.5641 38.62065 30.81193 
99.74349 9.703162 19.46615 29.82227 38.95785 30.89534 29.79514 38.95784 30.89533 29.82225 38.95786 30.89533 29.82226 38.95786 31.07937 
99.76581 9.787216 19.63477 30.08058 39.29527 31.16294 30.05345 39.29526 31.16294 30.08057 39.29527 31.16294 30.08057 39.29528 31.34698 
99.79935 9.913675 19.88846 30.4692 39.80291 31.56555 30.44208 39.8029 31.56555 30.46919 39.80291 31.56555 30.4692 39.80291 31.74958 
99.8216 9.997533 20.0567 30.72691 40.13954 31.83253 30.69979 40.13953 31.83253 30.72691 40.13955 31.83253 30.72691 40.13954 32.01657 
99.85513 10.12383 20.31005 31.11503 40.64653 32.23462 31.08791 40.64651 32.23461 31.11503 40.64653 32.23462 31.11503 40.64653 32.41865 
99.87772 10.20892 20.48075 31.37653 40.98812 32.50553 31.34941 40.98811 32.50553 31.37653 40.98811 32.50553 31.37653 40.98812 32.68956 
99.91103 10.33443 20.73254 31.76227 41.492 32.90514 31.73514 41.49198 32.90514 31.76226 41.49199 32.90514 31.76226 41.49199 33.08918 
99.9334 10.41869 20.90159 32.02125 41.83031 33.17345 31.99413 41.8303 33.17344 32.02125 41.83031 33.17344 32.02124 41.8303 33.35748 
99.95574 10.50297 21.07067 32.28027 42.16866 33.44178 32.25314 42.16866 33.44178 32.28026 42.16866 33.44178 32.28026 42.16866 33.62581 
99.98948 10.63004 21.3256 32.67081 42.67884 33.84639 32.64369 42.67884 33.84639 32.67081 42.67884 33.84639 32.67081 42.67884 34.03041 
100.0117 10.71366 21.49335 32.9278 43.01455 34.11263 32.90068 43.01455 34.11262 32.9278 43.01455 34.11263 32.9278 43.01455 34.29665 
100.0454 10.84059 21.74797 33.31787 43.52409 34.51674 33.29076 43.52409 34.51673 33.31788 43.52409 34.51674 33.31787 43.52409 34.70076 
100.0682 10.92656 21.92045 33.58209 43.86924 34.79047 33.55497 43.86924 34.79046 33.5821 43.86924 34.79046 33.5821 43.86924 34.97449 
100.1011 11.05063 22.16934 33.96338 44.36731 35.18548 33.93626 44.36731 35.18547 33.96339 44.3673 35.18548 33.96339 44.36729 35.36949 
100.1234 11.13481 22.33823 34.22209 44.70525 35.45351 34.19498 44.70525 35.4535 34.22211 44.70524 35.4535 34.22211 44.70525 35.63752 
100.1569 11.26103 22.59144 34.60999 45.21193 35.85535 34.58287 45.21194 35.85535 34.61 45.21192 35.85535 34.61 45.21192 36.03936 
100.1792 11.34513 22.76014 34.86842 45.54951 36.1231 34.84131 45.54952 36.12308 34.86844 45.5495 36.1231 34.86844 45.5495 36.3071 
100.2017 11.42957 22.92954 35.12793 45.88849 36.39194 35.10082 45.88849 36.39193 35.12794 45.88848 36.39193 35.12794 45.88848 36.57594 
100.235 11.55516 23.1815 35.51391 46.39266 36.7918 35.4868 46.39267 36.79179 35.51392 46.39265 36.79179 35.51392 46.39264 36.9758 
100.2574 11.63947 23.35063 35.77301 46.73111 37.06022 35.7459 46.73111 37.06021 35.77303 46.73109 37.06022 35.77303 46.73109 37.24422 
100.2906 11.76485 23.60215 36.15831 47.23441 37.45939 36.1312 47.23441 37.45938 36.15833 47.23439 37.45939 36.15833 47.23439 37.64339 
100.3154 11.8582 23.78941 36.44519 47.60913 37.75659 36.41808 47.60914 37.75657 36.4452 47.60912 37.75658 36.44521 47.60912 37.94059 
100.3376 11.94188 23.95729 36.70236 47.94506 38.02301 36.67525 47.94507 38.02299 36.70238 47.94504 38.02301 36.70237 47.94504 38.207 
100.3709 12.06725 24.20879 37.08764 48.44834 38.42216 37.06054 48.44835 38.42215 37.08766 48.44832 38.42215 37.08766 48.44833 38.60615 
100.393 12.15072 24.37625 37.34418 48.78345 38.68793 37.31709 48.78345 38.68791 37.3442 48.78343 38.68793 37.34421 48.78343 38.87193 
100.4265 12.27685 24.62928 37.73182 49.2898 39.08951 37.70471 49.2898 39.08949 37.73183 49.28977 39.0895 37.73184 49.28978 39.2735 
100.4483 12.359 24.79409 37.9843 49.61961 39.35108 37.95719 49.61961 39.35106 37.98431 49.61958 39.35106 37.98433 49.61958 39.53507 
100.4815 12.48412 25.04509 38.36884 50.12192 39.74945 38.34172 50.12192 39.74943 38.36885 50.12189 39.74944 38.36886 50.1219 39.93344 
100.5036 12.56754 25.21245 38.62522 50.45684 40.01506 38.59811 50.45683 40.01504 38.62524 50.45681 40.01505 38.62524 50.45681 40.19905 
100.5256 12.65034 25.37856 38.8797 50.78927 40.27869 38.8526 50.78926 40.27869 38.87971 50.78923 40.27869 38.87973 50.78924 40.46269 
100.5583 12.77357 25.62578 39.25843 51.28402 40.67105 39.23133 51.28401 40.67104 39.25845 51.28398 40.67104 39.25846 51.28399 40.85505 
100.5802 12.85613 25.7914 39.51217 51.61547 40.93393 39.48507 51.61547 40.93391 39.51219 51.61544 40.93391 39.5122 51.61545 41.11791 
